Prescription Drug Name,Drug Tier,Coverage Requirements and Limits
butalbital-acetaminophen oral tablet,Tier 1,
butalbital-apap-caffeine oral capsule,Tier 1,
butalbital-apap-caffeine oral tablet,Tier 1,
butalbital-asa-caffeine oral capsule,Tier 1,
butalbital-aspirin-caffeine oral capsule,Tier 1,
butalbital-aspirin-caffeine oral tablet,Tier 2,
TENCON ORAL TABLET (butalbital-acetaminophen),Tier 1,
butalbital-apap-caffeine (Zebutal Oral Capsule),Tier 2,
BAYER ASPIRIN EXTRA STRENGTH ORAL TABLET (aspirin),Tier 1,
diflunisal oral tablet,Tier 1,
acetaminophen-codeine #2 oral tablet,Tier 1,PA; QL (6 tablets per 1 day)
acetaminophen-codeine #3 oral tablet,Tier 1,PA; QL (6 tablets per 1 day)
acetaminophen-codeine #4 oral tablet,Tier 1,PA; QL (6 tablets per 1 day)
acetaminophen-codeine oral solution,Tier 1,PA; QL (30 mL per 1 day)
acetaminophen-codeine oral tablet,Tier 1,PA; QL (6 tablets per 1 day)
butalbital-asa-caff-codeine (Ascomp-Codeine Oral Capsule),Tier 1,PA; QL (6 capsules per 1 day)
butalbital-apap-caff-cod oral capsule,Tier 1,PA; QL (6 capsules per 1 day)
butalbital-asa-caff-codeine oral capsule,Tier 1,PA; QL (6 capsules per 1 day)
hydrocodone-acetaminophen oral solution,Tier 1,QL (90 mL per 1 day)
hydrocodone-acetaminophen oral tablet,Tier 1,QL (6 tablets per 1 day)
hydrocodone-ibuprofen oral tablet,Tier 1,QL (5 tablets per 1 day)
hydrocodone-acetaminophen (Lorcet Hd Oral Tablet),Tier 1,QL (6 tablets per 1 day)
hydrocodone-acetaminophen (Lorcet Oral Tablet),Tier 1,QL (6 tablets per 1 day)
codeine sulfate oral tablet,Tier 2,PA; QL (6 tablets per 1 day)
fentanyl transdermal patch 72 hour,Tier 2,PA; QL (15 patches per 30 days)
hydromorphone hcl oral liquid,Tier 1,QL (24 mL per 1 day)
hydromorphone hcl oral tablet,Tier 1,QL (6 tablets per 1 day)
hydromorphone hcl rectal suppository,Tier 2,QL (4 suppositories per 1 day)
meperidine hcl oral solution,Tier 1,QL (30 mL per 1 day)
meperidine hcl oral tablet,Tier 1,QL (6 tablets per 1 day)
methadone hcl (Methadone Hcl Intensol Oral Concentrate),Tier 1,PA; QL (6 mL per 1 day)
methadone hcl oral concentrate,Tier 1,PA; QL (6 mL per 1 day)
methadone hcl oral solution,Tier 1,PA; QL (30 mL per 1 day)
methadone hcl oral tablet,Tier 1,PA; QL (6 tablets per 1 day)
methadone hcl oral tablet soluble,Tier 1,PA; QL (1 tablet per 1 day)
methadone hcl (Methadose Oral Tablet Soluble),Tier 1,PA; QL (1 tablet per 1 day)
morphine sulfate (concentrate) oral solution,Tier 1,QL (6 mL per 1 day)
morphine sulfate er oral capsule extended release 24 hour,Tier 2,PA; QL (2 capsules per 1 day)
"morphine sulfate er oral tablet extended release 100 mg, 200 mg",Tier 2,PA; QL (2 tablets per 1 day)
"morphine sulfate er oral tablet extended release 15 mg, 30 mg, 60 mg",Tier 2,PA; QL (3 tablets per 1 day)
morphine sulfate oral solution,Tier 1,QL (30 mL per 1 day)
morphine sulfate oral tablet,Tier 1,QL (6 tablets per 1 day)
morphine sulfate rectal suppository,Tier 1,QL (6 suppositories per 1 day)
oxycodone hcl oral capsule,Tier 2,QL (6 capsules per 1 day)
"oxycodone hcl oral concentrate 10 mg/0.5ml, 100 mg/5ml",Tier 2,QL (6 mL per 1 day)
oxycodone hcl oral solution,Tier 2,QL (30 mL per 1 day)
oxycodone hcl oral tablet,Tier 2,QL (6 tablets per 1 day)
oxymorphone hcl oral tablet,Tier 2,QL (6 tablets per 1 day)
tramadol hcl oral tablet,Tier 1,QL (8 tablet per 1 day)
oxycodone-acetaminophen (Endocet Oral Tablet),Tier 2,QL (6 tablets per 1 day)
oxycodone-acetaminophen oral tablet,Tier 1,QL (6 tablets per 1 day)
oxycodone-aspirin oral tablet,Tier 1,QL (6 tablets per 1 day)
oxycodone-ibuprofen oral tablet,Tier 1,QL (4 tablets per 1 day)
buprenorphine hcl sublingual tablet sublingual 2 mg,Tier 2,QL (12 tablets per 90 days)
buprenorphine hcl sublingual tablet sublingual 8 mg,Tier 2,QL (3 tablets per 90 days)
buprenorphine hcl-naloxone hcl sublingual tablet sublingual 2-0.5 mg,Tier 1,QL (12 tablets per 1 day)
buprenorphine hcl-naloxone hcl sublingual tablet sublingual 8-2 mg,Tier 1,QL (3 tablets per 1 day)
butorphanol tartrate nasal solution,Tier 1,QL (2 bottles per 30 days)
oxandrolone oral tablet,Tier 2,PA
danazol oral capsule,Tier 2,
methitest oral tablet,Tier 3,
testosterone cypionate injection solution,Tier 1,PA
testosterone cypionate intramuscular solution,Tier 1,PA
"testosterone transdermal gel 1.62 %, 12.5 mg/act (1%), 20.25 mg/act (1.62%)",Tier 2,PA; QL (1 bottle per 30 days)
"testosterone transdermal gel 20.25 mg/1.25gm (1.62%), 40.5 mg/2.5gm (1.62%), 50 mg/5gm (1%)",Tier 2,PA; QL (1 packet per 1 day)
testosterone transdermal gel 25 mg/2.5gm (1%),Tier 2,PA; QL (2 packets per 1 day)
hydrocortisone (Colocort Rectal Enema),Tier 1,
hydrocortisone rectal enema,Tier 1,
hydrocortisone ace-pramoxine external cream,Tier 1,
hydrocortisone (perianal) external cream,Tier 1,
hydrocortisone (Procto-Med Hc External Cream),Tier 1,
hydrocortisone (Procto-Pak External Cream),Tier 1,
hydrocortisone (Proctosol Hc External Cream),Tier 1,
hydrocortisone (Proctozone-Hc External Cream),Tier 1,
ivermectin oral tablet,Tier 1,
praziquantel oral tablet,Tier 2,
isosorbide dinitrate oral tablet,Tier 1,
isosorbide mononitrate er oral tablet extended release 24 hour,Tier 1,
isosorbide mononitrate oral tablet,Tier 1,
NITRO-BID TRANSDERMAL OINTMENT (nitroglycerin),Tier 2,
nitroglycerin sublingual tablet sublingual,Tier 1,
nitroglycerin translingual solution,Tier 2,
NITRO-TIME ORAL CAPSULE EXTENDED RELEASE (nitroglycerin),Tier 1,
buspirone hcl oral tablet,Tier 1,
hydroxyzine hcl oral syrup,Tier 1,
hydroxyzine hcl oral tablet,Tier 1,
hydroxyzine pamoate oral capsule,Tier 1,
alprazolam oral tablet,Tier 1,
diazepam (Diazepam Intensol Oral Concentrate),Tier 1,
diazepam oral concentrate,Tier 1,
diazepam oral solution,Tier 1,
diazepam oral tablet,Tier 1,
lorazepam oral tablet,Tier 1,
disopyramide phosphate oral capsule,Tier 2,
quinidine sulfate oral tablet,Tier 1,
mexiletine hcl oral capsule,Tier 2,
flecainide acetate oral tablet,Tier 2,
propafenone hcl er oral capsule extended release 12 hour,Tier 2,
propafenone hcl oral tablet,Tier 2,
dofetilide oral capsule,Tier 2,
MULTAQ ORAL TABLET (dronedarone hcl),Tier 3,
ADVAIR HFA INHALATION AEROSOL (fluticasone-salmeterol),Tier 2,QL (1 inhaler per 30 days)
budesonide-formoterol fumarate inhalation aerosol,Tier 2,QL (1 inhaler per 30 days)
"DULERA INHALATION AEROSOL 100-5 MCG/ACT, 200-5 MCG/ACT, 50-5 MCG/ACT (mometasone furo-formoterol fum)",Tier 2,QL (1 inhaler per 30 days)
fluticasone-salmeterol inhalation aerosol powder breath activated,Tier 1,QL (1 inhaler per 30 days)
ipratropium-albuterol inhalation solution,Tier 2,
SYMBICORT INHALATION AEROSOL (budesonide-formoterol fumarate),Tier 2,QL (1 inhaler per 30 days)
fluticasone-salmeterol (Wixela Inhub Inhalation Aerosol Powder Breath Activated),Tier 1,QL (1 inhaler per 30 days)
cromolyn sodium inhalation nebulization solution,Tier 2,
ALBUTEROL SULFATE HFA INHALATION AEROSOL SOLUTION,Tier 1,QL (2 inhalers per 30 days)
albuterol sulfate inhalation nebulization solution,Tier 1,
albuterol sulfate oral syrup,Tier 1,
levalbuterol tartrate inhalation aerosol,Tier 1,QL (2 inhalers per 30 days)
metaproterenol sulfate oral syrup,Tier 1,
SEREVENT DISKUS INHALATION AEROSOL POWDER BREATH ACTIVATED (salmeterol xinafoate),Tier 2,QL (1 inhaler per 30 days)
ipratropium bromide inhalation solution,Tier 1,QL (300 mL per 30 days)
SPIRIVA HANDIHALER INHALATION CAPSULE (tiotropium bromide monohydrate),Tier 3,QL (1 capsule per 1 day)
SPIRIVA RESPIMAT INHALATION AEROSOL SOLUTION (tiotropium bromide monohydrate),Tier 3,QL (1 inhaler per 30 days)
montelukast sodium oral packet,Tier 1,QL (1 packet per 1 day)
montelukast sodium oral tablet,Tier 1,QL (1 tablet per 1 day)
montelukast sodium oral tablet chewable,Tier 1,QL (1 tablet per 1 day)
DALIRESP ORAL TABLET (roflumilast),Tier 3,PA; QL (1 tablet per 1 day)
ASMANEX (120 METERED DOSES) INHALATION AEROSOL POWDER BREATH ACTIVATED (mometasone furoate),Tier 2,QL (1 inhaler per 30 days)
ASMANEX (14 METERED DOSES) INHALATION AEROSOL POWDER BREATH ACTIVATED (mometasone furoate),Tier 2,QL (1 inhaler per 30 days)
ASMANEX (30 METERED DOSES) INHALATION AEROSOL POWDER BREATH ACTIVATED (mometasone furoate),Tier 2,QL (1 inhaler per 30 days)
ASMANEX (60 METERED DOSES) INHALATION AEROSOL POWDER BREATH ACTIVATED (mometasone furoate),Tier 2,QL (1 inhaler per 30 days)
ASMANEX (7 METERED DOSES) INHALATION AEROSOL POWDER BREATH ACTIVATED (mometasone furoate),Tier 2,QL (1 inhaler per 30 days)
"budesonide inhalation suspension 0.25 mg/2ml, 0.5 mg/2ml",Tier 1,QL (120 ML per 30 days)
budesonide inhalation suspension 1 mg/2ml,Tier 1,QL (60 mL per 30 days)
"FLOVENT DISKUS INHALATION AEROSOL POWDER BREATH ACTIVATED 100 MCG/BLIST, 50 MCG/BLIST (fluticasone propionate (inhal))",Tier 2,QL (1 inhaler per 30 days)
FLOVENT DISKUS INHALATION AEROSOL POWDER BREATH ACTIVATED 250 MCG/BLIST (fluticasone propionate (inhal)),Tier 2,QL (4 inhalers per 30 days)
"FLOVENT HFA INHALATION AEROSOL 110 MCG/ACT, 44 MCG/ACT (fluticasone propionate hfa)",Tier 2,QL (1 inhaler per 30 days)
FLOVENT HFA INHALATION AEROSOL 220 MCG/ACT (fluticasone propionate hfa),Tier 2,QL (2 inhalers per 30 days)
PULMICORT FLEXHALER INHALATION AEROSOL POWDER BREATH ACTIVATED (budesonide),Tier 2,QL (2 inhalers per 30 days)
theophylline er oral tablet extended release 12 hour,Tier 1,
theophylline er oral tablet extended release 24 hour,Tier 1,
theophylline oral solution,Tier 1,
warfarin sodium (Jantoven Oral Tablet),Tier 1,
warfarin sodium oral tablet,Tier 1,
ELIQUIS DVT/PE STARTER PACK ORAL TABLET (apixaban),Tier 3,QL (1 pack per 365 days)
ELIQUIS ORAL TABLET 2.5 MG (apixaban),Tier 3,QL (2 tablets per 1 day)
ELIQUIS ORAL TABLET 5 MG (apixaban),Tier 3,QL (74 tablets per 30 days)
"XARELTO ORAL TABLET 10 MG, 20 MG (rivaroxaban)",Tier 3,QL (1 tablet per 1 day)
XARELTO ORAL TABLET 15 MG (rivaroxaban),Tier 3,QL (42 tablets per 1 fill)
XARELTO ORAL TABLET 2.5 MG (rivaroxaban),Tier 3,QL (2 tablets per 1 day)
XARELTO STARTER PACK ORAL TABLET THERAPY PACK (rivaroxaban),Tier 3,QL (1 pack per 1 day)
enoxaparin sodium injection solution,Tier 4,QL (30 syringes per 30 days)
enoxaparin sodium subcutaneous solution,Tier 4,QL (30 syringes per 30 days)
fondaparinux sodium subcutaneous solution,Tier 4,QL (30 syringes per 30 days)
PRADAXA ORAL CAPSULE (dabigatran etexilate mesylate),Tier 3,QL (2 capsules per 1 day)
clonazepam oral tablet,Tier 1,QL (3 tablets per 1 day)
clonazepam oral tablet dispersible,Tier 1,
carbamazepine er oral capsule extended release 12 hour,Tier 1,
carbamazepine er oral tablet extended release 12 hour,Tier 1,
carbamazepine oral suspension,Tier 1,
carbamazepine oral tablet,Tier 1,
carbamazepine oral tablet chewable,Tier 1,
carbamazepine (Epitol Oral Tablet),Tier 1,
"gabapentin oral capsule 100 mg, 400 mg",Tier 2,QL (6 capsules per 1 day)
gabapentin oral capsule 300 mg,Tier 2,QL (9 capsules per 1 day)
gabapentin oral solution,Tier 2,QL (72 mL per 1 day)
gabapentin oral tablet 600 mg,Tier 2,QL (6 tablets per 1 day)
gabapentin oral tablet 800 mg,Tier 2,QL (4 tablets per 1 day)
lamotrigine oral tablet,Tier 1,
lamotrigine oral tablet chewable,Tier 1,
levetiracetam er oral tablet extended release 24 hour,Tier 2,
levetiracetam oral solution,Tier 2,
levetiracetam oral tablet,Tier 2,
oxcarbazepine oral suspension,Tier 2,
oxcarbazepine oral tablet,Tier 2,
primidone oral tablet,Tier 1,
lamotrigine (Subvenite Oral Tablet),Tier 1,
topiramate oral capsule sprinkle,Tier 1,
topiramate oral tablet,Tier 1,
zonisamide oral capsule,Tier 2,
felbamate oral suspension,Tier 2,
felbamate oral tablet,Tier 2,
tiagabine hcl oral tablet,Tier 2,
DILANTIN ORAL CAPSULE (phenytoin sodium extended),Tier 3,
PEGANONE ORAL TABLET (ethotoin),Tier 3,
phenytoin sodium extended oral capsule,Tier 1,
ethosuximide oral capsule,Tier 1,
ethosuximide oral solution,Tier 1,
divalproex sodium er oral tablet extended release 24 hour,Tier 2,
divalproex sodium oral capsule delayed release sprinkle,Tier 2,
divalproex sodium oral tablet delayed release,Tier 2,
valproic acid oral capsule,Tier 1,
valproic acid oral solution,Tier 1,
mirtazapine oral tablet,Tier 1,
mirtazapine oral tablet dispersible,Tier 1,
bupropion hcl er (sr) oral tablet extended release 12 hour 100 mg,Tier 1,DO
bupropion hcl er (sr) oral tablet extended release 12 hour 150 mg,Tier 1; $0,
bupropion hcl er (sr) oral tablet extended release 12 hour 200 mg,Tier 1,
bupropion hcl er (xl) oral tablet extended release 24 hour 150 mg,Tier 1,DO
bupropion hcl er (xl) oral tablet extended release 24 hour 300 mg,Tier 1,QL (1 tablet per 1 day)
bupropion hcl oral tablet 100 mg,Tier 1,QL (4.5 tablets per 1 day)
bupropion hcl oral tablet 75 mg,Tier 1,DO
maprotiline hcl oral tablet,Tier 1,
nefazodone hcl oral tablet,Tier 1,
trazodone hcl oral tablet,Tier 1,
phenelzine sulfate oral tablet,Tier 1,
tranylcypromine sulfate oral tablet,Tier 1,
citalopram hydrobromide oral solution,Tier 1,QL (20 mL per 1 day)
"citalopram hydrobromide oral tablet 10 mg, 20 mg",Tier 1,DO
citalopram hydrobromide oral tablet 40 mg,Tier 1,QL (1 tablet per 1 day)
escitalopram oxalate oral solution,Tier 1,QL (20 mL per 1 day)
"escitalopram oxalate oral tablet 10 mg, 5 mg",Tier 1,DO
escitalopram oxalate oral tablet 20 mg,Tier 1,QL (1 tablet per 1 day)
fluoxetine hcl oral capsule 10 mg,Tier 1,DO
fluoxetine hcl oral capsule 20 mg,Tier 1,QL (4 capsules per 1 day)
fluoxetine hcl oral capsule 40 mg,Tier 1,QL (2 capsule per 1 day)
fluoxetine hcl oral capsule delayed release,Tier 1,QL (4 capsules per 28 days)
fluoxetine hcl oral solution,Tier 1,QL (20 mL per 1 day)
fluoxetine hcl oral tablet 10 mg,Tier 1,DO
fluoxetine hcl oral tablet 20 mg,Tier 1,QL (4 tablets per 1 day)
paroxetine hcl er oral tablet extended release 24 hour 12.5 mg,Tier 1,DO
"paroxetine hcl er oral tablet extended release 24 hour 25 mg, 37.5 mg",Tier 1,QL (2 tablets per 1 day)
"paroxetine hcl oral tablet 10 mg, 20 mg",Tier 1,DO
paroxetine hcl oral tablet 30 mg,Tier 1,QL (2 tablets per 1 day)
paroxetine hcl oral tablet 40 mg,Tier 1,QL (1.5 tablets per 1 day)
sertraline hcl oral concentrate,Tier 1,QL (10 mL per 1 day)
sertraline hcl oral tablet 100 mg,Tier 1,QL (2 tablets per 1 day)
"sertraline hcl oral tablet 25 mg, 50 mg",Tier 1,DO
desvenlafaxine succinate er oral tablet extended release 24 hour 100 mg,Tier 1,QL (1 tablet per 1 day)
"desvenlafaxine succinate er oral tablet extended release 24 hour 25 mg, 50 mg",Tier 1,DO
"duloxetine hcl oral capsule delayed release particles 20 mg, 60 mg",Tier 2,QL (2 capsules per 1 day)
duloxetine hcl oral capsule delayed release particles 30 mg,Tier 2,DO
duloxetine hcl oral capsule delayed release particles 40 mg,Tier 2,QL (3 capsules per 1 day)
venlafaxine hcl er oral capsule extended release 24 hour 150 mg,Tier 1,QL (1 capsule per 1 day)
"venlafaxine hcl er oral capsule extended release 24 hour 37.5 mg, 75 mg",Tier 1,DO
"venlafaxine hcl er oral tablet extended release 24 hour 150 mg, 225 mg",Tier 1,QL (1 tablet per 1 day)
"venlafaxine hcl er oral tablet extended release 24 hour 37.5 mg, 75 mg",Tier 1,DO
venlafaxine hcl oral tablet,Tier 1,QL (3 tablets per 1 day)
amitriptyline hcl oral tablet,Tier 1,
amoxapine oral tablet,Tier 1,
clomipramine hcl oral capsule,Tier 2,
desipramine hcl oral tablet,Tier 2,
doxepin hcl oral capsule,Tier 1,
doxepin hcl oral concentrate,Tier 1,
imipramine hcl oral tablet,Tier 1,
nortriptyline hcl oral capsule,Tier 1,
nortriptyline hcl oral solution,Tier 1,
protriptyline hcl oral tablet,Tier 2,
trimipramine maleate oral capsule,Tier 1,
acarbose oral tablet,Tier 1,
metformin hcl er oral tablet extended release 24 hour,Tier 1,
metformin hcl oral tablet,Tier 1,
GLUCAGEN HYPOKIT INJECTION SOLUTION RECONSTITUTED (glucagon hcl (rdna)),Tier 2,
GLUCAGON EMERGENCY INJECTION KIT (glucagon (rdna)),Tier 2,
alogliptin benzoate oral tablet,Tier 1,ST; QL (1 tablet per 1 day)
JANUVIA ORAL TABLET (sitagliptin phosphate),Tier 2,ST; QL (1 tablet per 1 day)
ONGLYZA ORAL TABLET (saxagliptin hcl),Tier 3,ST; QL (1 tablet per 1 day)
TRADJENTA ORAL TABLET (linagliptin),Tier 2,ST; DO
JANUMET ORAL TABLET (sitagliptin-metformin hcl),Tier 2,ST; QL (2 tablets per 1 day)
JANUMET XR ORAL TABLET EXTENDED RELEASE 24 HOUR 100- 1000 MG (sitagliptin-metformin hcl),Tier 2,ST; QL (1 tablet per 1 day)
"JANUMET XR ORAL TABLET EXTENDED RELEASE 24 HOUR 50- 1000 MG, 50-500 MG (sitagliptin-metformin hcl)",Tier 2,ST; QL (2 tablets per 1 day)
JENTADUETO ORAL TABLET (linagliptin-metformin hcl),Tier 2,ST; QL (2 tablets per 1 day)
HUMALOG JUNIOR KWIKPEN SUBCUTANEOUS SOLUTION PEN- INJECTOR (insulin lispro),Tier 2,QL (30 mL per 30 days)
HUMALOG KWIKPEN SUBCUTANEOUS SOLUTION PEN-INJECTOR (insulin lispro),Tier 2,QL (30 mL per 30 days)
HUMALOG MIX 50/50 KWIKPEN SUBCUTANEOUS SUSPENSION PEN-INJECTOR (insulin lispro prot & lispro),Tier 2,QL (30 mL per 30 days)
HUMALOG MIX 50/50 SUBCUTANEOUS SUSPENSION (insulin lispro prot & lispro),Tier 2,QL (30 mL per 30 days)
HUMALOG MIX 75/25 KWIKPEN SUBCUTANEOUS SUSPENSION PEN-INJECTOR (insulin lispro prot & lispro),Tier 2,QL (30 mL per 30 days)
HUMALOG MIX 75/25 SUBCUTANEOUS SUSPENSION (insulin lispro prot & lispro),Tier 2,QL (30 mL per 30 days)
HUMALOG SUBCUTANEOUS SOLUTION (insulin lispro),Tier 2,QL (30 mL per 30 days)
HUMALOG SUBCUTANEOUS SOLUTION CARTRIDGE (insulin lispro),Tier 2,QL (30 mL per 30 days)
HUMULIN 70/30 KWIKPEN SUBCUTANEOUS SUSPENSION PEN- INJECTOR (insulin nph isophane & regular),Tier 2,QL (30 mL per 30 days)
HUMULIN 70/30 SUBCUTANEOUS SUSPENSION (insulin nph isophane & regular),Tier 2,QL (30 mL per 30 days)
HUMULIN N KWIKPEN SUBCUTANEOUS SUSPENSION PEN- INJECTOR (insulin nph human (isophane)),Tier 2,QL (30 mL per 30 days)
HUMULIN N SUBCUTANEOUS SUSPENSION (insulin nph human (isophane)),Tier 2,QL (30 mL per 30 days)
HUMULIN R INJECTION SOLUTION (insulin regular human),Tier 2,QL (30 mL per 30 days)
HUMULIN R U-500 (CONCENTRATED) SUBCUTANEOUS SOLUTION (insulin regular human),Tier 2,PA; QL (20 mL per 30 days)
HUMULIN R U-500 KWIKPEN SUBCUTANEOUS SOLUTION PEN- INJECTOR (insulin regular human),Tier 2,PA; QL (18 mL per 30 days)
insulin lispro (1 unit dial) subcutaneous solution pen-injector,Tier 2,QL (30 mL per 30 days)
insulin lispro subcutaneous solution,Tier 2,QL (30 mL per 30 days)
LANTUS SOLOSTAR SUBCUTANEOUS SOLUTION PEN-INJECTOR (insulin glargine),Tier 2,QL (30 mL per 30 days)
