Prescription Drug Name,Drug Tier,Coverage Requirements and Limits,Insurer
SIMPONI SUBCUTANEOUS SOLUTION PREFILLED SYRINGE (golimumab),Tier 4,PA; SP; QL (1 syringe per 28 days),Anthem-Blue-Cross
RIDAURA ORAL CAPSULE (auranofin),Tier 3,,Anthem-Blue-Cross
diclofenac potassium oral tablet,Tier 1,,Anthem-Blue-Cross
diclofenac sodium er oral tablet extended release 24 hour,Tier 1,,Anthem-Blue-Cross
diclofenac sodium oral tablet delayed release,Tier 1,,Anthem-Blue-Cross
ibuprofen (Ibu Oral Tablet),Tier 1,,Anthem-Blue-Cross
ibuprofen oral suspension,Tier 1,QL (4 mL per 1 day),Anthem-Blue-Cross
ibuprofen oral tablet,Tier 1,,Anthem-Blue-Cross
indomethacin er oral capsule extended release,Tier 1,QL (2 capsule per 1 day),Anthem-Blue-Cross
indomethacin oral capsule 25 mg,Tier 1,QL (3 capsule per 1 day),Anthem-Blue-Cross
indomethacin oral capsule 50 mg,Tier 1,QL (4 capsule per 1 day),Anthem-Blue-Cross
ketorolac tromethamine oral tablet,Tier 1,QL (20 tablets per 30 days),Anthem-Blue-Cross
meclofenamate sodium oral capsule,Tier 1,,Anthem-Blue-Cross
meloxicam oral tablet,Tier 1,QL (1 tablet per 1 day),Anthem-Blue-Cross
nabumetone oral tablet 500 mg,Tier 1,QL (4 tablets per 1 day),Anthem-Blue-Cross
nabumetone oral tablet 750 mg,Tier 1,QL (2 tablets per 1 day),Anthem-Blue-Cross
naproxen dr oral tablet delayed release,Tier 1,,Anthem-Blue-Cross
naproxen oral suspension,Tier 1,,Anthem-Blue-Cross
naproxen oral tablet,Tier 1,,Anthem-Blue-Cross
naproxen sodium oral tablet,Tier 1,,Anthem-Blue-Cross
sulindac oral tablet,Tier 1,,Anthem-Blue-Cross
ORENCIA CLICKJECT SUBCUTANEOUS SOLUTION AUTO- INJECTOR (abatacept),Tier 4,PA; SP; QL (4 syringes per 28 days),Anthem-Blue-Cross
ORENCIA INTRAVENOUS SOLUTION RECONSTITUTED (abatacept),Tier 4,PA; SP; QL (4 syringes per 28 days),Anthem-Blue-Cross
ORENCIA SUBCUTANEOUS SOLUTION PREFILLED SYRINGE 125 MG/ML (abatacept),Tier 4,PA; SP; QL (4 syringes per 28 days),Anthem-Blue-Cross
"ORENCIA SUBCUTANEOUS SOLUTION PREFILLED SYRINGE 50 MG/0.4ML, 87.5 MG/0.7ML (abatacept)",Tier 4,PA; SP; QL (4 injections per 28 days),Anthem-Blue-Cross
ENBREL MINI SUBCUTANEOUS SOLUTION CARTRIDGE (etanercept),Tier 4,PA; SP; QL (4 cartridges per 28 days),Anthem-Blue-Cross
ENBREL SUBCUTANEOUS SOLUTION PREFILLED SYRINGE 25 MG/0.5ML (etanercept),Tier 4,PA; SP; QL (8 syringes per 28 days),Anthem-Blue-Cross
ENBREL SUBCUTANEOUS SOLUTION PREFILLED SYRINGE 50 MG/ML (etanercept),Tier 4,PA; SP; QL (4 syringes per 28 days),Anthem-Blue-Cross
ENBREL SUBCUTANEOUS SOLUTION RECONSTITUTED (etanercept),Tier 4,PA; SP; QL (8 vials per 28 days),Anthem-Blue-Cross
ENBREL SURECLICK SUBCUTANEOUS SOLUTION AUTO- INJECTOR (etanercept),Tier 4,PA; SP; QL (4 pens per 28 days),Anthem-Blue-Cross
butalbital-acetaminophen oral tablet,Tier 1,,Anthem-Blue-Cross
butalbital-apap-caffeine oral capsule,Tier 1,,Anthem-Blue-Cross
butalbital-apap-caffeine oral tablet,Tier 1,,Anthem-Blue-Cross
butalbital-asa-caffeine oral capsule,Tier 1,,Anthem-Blue-Cross
butalbital-aspirin-caffeine oral capsule,Tier 1,,Anthem-Blue-Cross
butalbital-aspirin-caffeine oral tablet,Tier 2,,Anthem-Blue-Cross
TENCON ORAL TABLET (butalbital-acetaminophen),Tier 1,,Anthem-Blue-Cross
butalbital-apap-caffeine (Zebutal Oral Capsule),Tier 2,,Anthem-Blue-Cross
BAYER ASPIRIN EXTRA STRENGTH ORAL TABLET (aspirin),Tier 1,,Anthem-Blue-Cross
diflunisal oral tablet,Tier 1,,Anthem-Blue-Cross
acetaminophen-codeine #2 oral tablet,Tier 1,PA; QL (6 tablets per 1 day),Anthem-Blue-Cross
acetaminophen-codeine #3 oral tablet,Tier 1,PA; QL (6 tablets per 1 day),Anthem-Blue-Cross
acetaminophen-codeine #4 oral tablet,Tier 1,PA; QL (6 tablets per 1 day),Anthem-Blue-Cross
acetaminophen-codeine oral solution,Tier 1,PA; QL (30 mL per 1 day),Anthem-Blue-Cross
acetaminophen-codeine oral tablet,Tier 1,PA; QL (6 tablets per 1 day),Anthem-Blue-Cross
butalbital-asa-caff-codeine (Ascomp-Codeine Oral Capsule),Tier 1,PA; QL (6 capsules per 1 day),Anthem-Blue-Cross
butalbital-apap-caff-cod oral capsule,Tier 1,PA; QL (6 capsules per 1 day),Anthem-Blue-Cross
butalbital-asa-caff-codeine oral capsule,Tier 1,PA; QL (6 capsules per 1 day),Anthem-Blue-Cross
hydrocodone-acetaminophen oral solution,Tier 1,QL (90 mL per 1 day),Anthem-Blue-Cross
hydrocodone-acetaminophen oral tablet,Tier 1,QL (6 tablets per 1 day),Anthem-Blue-Cross
hydrocodone-ibuprofen oral tablet,Tier 1,QL (5 tablets per 1 day),Anthem-Blue-Cross
hydrocodone-acetaminophen (Lorcet Hd Oral Tablet),Tier 1,QL (6 tablets per 1 day),Anthem-Blue-Cross
hydrocodone-acetaminophen (Lorcet Oral Tablet),Tier 1,QL (6 tablets per 1 day),Anthem-Blue-Cross
codeine sulfate oral tablet,Tier 2,PA; QL (6 tablets per 1 day),Anthem-Blue-Cross
fentanyl transdermal patch 72 hour,Tier 2,PA; QL (15 patches per 30 days),Anthem-Blue-Cross
hydromorphone hcl oral liquid,Tier 1,QL (24 mL per 1 day),Anthem-Blue-Cross
hydromorphone hcl oral tablet,Tier 1,QL (6 tablets per 1 day),Anthem-Blue-Cross
hydromorphone hcl rectal suppository,Tier 2,QL (4 suppositories per 1 day),Anthem-Blue-Cross
meperidine hcl oral solution,Tier 1,QL (30 mL per 1 day),Anthem-Blue-Cross
meperidine hcl oral tablet,Tier 1,QL (6 tablets per 1 day),Anthem-Blue-Cross
methadone hcl (Methadone Hcl Intensol Oral Concentrate),Tier 1,PA; QL (6 mL per 1 day),Anthem-Blue-Cross
methadone hcl oral concentrate,Tier 1,PA; QL (6 mL per 1 day),Anthem-Blue-Cross
methadone hcl oral solution,Tier 1,PA; QL (30 mL per 1 day),Anthem-Blue-Cross
methadone hcl oral tablet,Tier 1,PA; QL (6 tablets per 1 day),Anthem-Blue-Cross
methadone hcl oral tablet soluble,Tier 1,PA; QL (1 tablet per 1 day),Anthem-Blue-Cross
methadone hcl (Methadose Oral Tablet Soluble),Tier 1,PA; QL (1 tablet per 1 day),Anthem-Blue-Cross
morphine sulfate (concentrate) oral solution,Tier 1,QL (6 mL per 1 day),Anthem-Blue-Cross
morphine sulfate er oral capsule extended release 24 hour,Tier 2,PA; QL (2 capsules per 1 day),Anthem-Blue-Cross
"morphine sulfate er oral tablet extended release 100 mg, 200 mg",Tier 2,PA; QL (2 tablets per 1 day),Anthem-Blue-Cross
"morphine sulfate er oral tablet extended release 15 mg, 30 mg, 60 mg",Tier 2,PA; QL (3 tablets per 1 day),Anthem-Blue-Cross
morphine sulfate oral solution,Tier 1,QL (30 mL per 1 day),Anthem-Blue-Cross
morphine sulfate oral tablet,Tier 1,QL (6 tablets per 1 day),Anthem-Blue-Cross
morphine sulfate rectal suppository,Tier 1,QL (6 suppositories per 1 day),Anthem-Blue-Cross
oxycodone hcl oral capsule,Tier 2,QL (6 capsules per 1 day),Anthem-Blue-Cross
"oxycodone hcl oral concentrate 10 mg/0.5ml, 100 mg/5ml",Tier 2,QL (6 mL per 1 day),Anthem-Blue-Cross
oxycodone hcl oral solution,Tier 2,QL (30 mL per 1 day),Anthem-Blue-Cross
oxycodone hcl oral tablet,Tier 2,QL (6 tablets per 1 day),Anthem-Blue-Cross
oxymorphone hcl oral tablet,Tier 2,QL (6 tablets per 1 day),Anthem-Blue-Cross
tramadol hcl oral tablet,Tier 1,QL (8 tablet per 1 day),Anthem-Blue-Cross
oxycodone-acetaminophen (Endocet Oral Tablet),Tier 2,QL (6 tablets per 1 day),Anthem-Blue-Cross
oxycodone-acetaminophen oral tablet,Tier 1,QL (6 tablets per 1 day),Anthem-Blue-Cross
oxycodone-aspirin oral tablet,Tier 1,QL (6 tablets per 1 day),Anthem-Blue-Cross
oxycodone-ibuprofen oral tablet,Tier 1,QL (4 tablets per 1 day),Anthem-Blue-Cross
buprenorphine hcl sublingual tablet sublingual 2 mg,Tier 2,QL (12 tablets per 90 days),Anthem-Blue-Cross
buprenorphine hcl sublingual tablet sublingual 8 mg,Tier 2,QL (3 tablets per 90 days),Anthem-Blue-Cross
buprenorphine hcl-naloxone hcl sublingual tablet sublingual 2-0.5 mg,Tier 1,QL (12 tablets per 1 day),Anthem-Blue-Cross
buprenorphine hcl-naloxone hcl sublingual tablet sublingual 8-2 mg,Tier 1,QL (3 tablets per 1 day),Anthem-Blue-Cross
butorphanol tartrate nasal solution,Tier 1,QL (2 bottles per 30 days),Anthem-Blue-Cross
oxandrolone oral tablet,Tier 2,PA,Anthem-Blue-Cross
danazol oral capsule,Tier 2,,Anthem-Blue-Cross
methitest oral tablet,Tier 3,,Anthem-Blue-Cross
testosterone cypionate injection solution,Tier 1,PA,Anthem-Blue-Cross
testosterone cypionate intramuscular solution,Tier 1,PA,Anthem-Blue-Cross
"testosterone transdermal gel 1.62 %, 12.5 mg/act (1%), 20.25 mg/act (1.62%)",Tier 2,PA; QL (1 bottle per 30 days),Anthem-Blue-Cross
"testosterone transdermal gel 20.25 mg/1.25gm (1.62%), 40.5 mg/2.5gm (1.62%), 50 mg/5gm (1%)",Tier 2,PA; QL (1 packet per 1 day),Anthem-Blue-Cross
testosterone transdermal gel 25 mg/2.5gm (1%),Tier 2,PA; QL (2 packets per 1 day),Anthem-Blue-Cross
hydrocortisone (Colocort Rectal Enema),Tier 1,,Anthem-Blue-Cross
hydrocortisone rectal enema,Tier 1,,Anthem-Blue-Cross
hydrocortisone ace-pramoxine external cream,Tier 1,,Anthem-Blue-Cross
hydrocortisone (perianal) external cream,Tier 1,,Anthem-Blue-Cross
hydrocortisone (Procto-Med Hc External Cream),Tier 1,,Anthem-Blue-Cross
hydrocortisone (Procto-Pak External Cream),Tier 1,,Anthem-Blue-Cross
hydrocortisone (Proctosol Hc External Cream),Tier 1,,Anthem-Blue-Cross
hydrocortisone (Proctozone-Hc External Cream),Tier 1,,Anthem-Blue-Cross
ivermectin oral tablet,Tier 1,,Anthem-Blue-Cross
praziquantel oral tablet,Tier 2,,Anthem-Blue-Cross
isosorbide dinitrate oral tablet,Tier 1,,Anthem-Blue-Cross
isosorbide mononitrate er oral tablet extended release 24 hour,Tier 1,,Anthem-Blue-Cross
isosorbide mononitrate oral tablet,Tier 1,,Anthem-Blue-Cross
NITRO-BID TRANSDERMAL OINTMENT (nitroglycerin),Tier 2,,Anthem-Blue-Cross
nitroglycerin sublingual tablet sublingual,Tier 1,,Anthem-Blue-Cross
nitroglycerin translingual solution,Tier 2,,Anthem-Blue-Cross
NITRO-TIME ORAL CAPSULE EXTENDED RELEASE (nitroglycerin),Tier 1,,Anthem-Blue-Cross
buspirone hcl oral tablet,Tier 1,,Anthem-Blue-Cross
hydroxyzine hcl oral syrup,Tier 1,,Anthem-Blue-Cross
hydroxyzine hcl oral tablet,Tier 1,,Anthem-Blue-Cross
hydroxyzine pamoate oral capsule,Tier 1,,Anthem-Blue-Cross
alprazolam oral tablet,Tier 1,,Anthem-Blue-Cross
diazepam (Diazepam Intensol Oral Concentrate),Tier 1,,Anthem-Blue-Cross
diazepam oral concentrate,Tier 1,,Anthem-Blue-Cross
diazepam oral solution,Tier 1,,Anthem-Blue-Cross
diazepam oral tablet,Tier 1,,Anthem-Blue-Cross
lorazepam oral tablet,Tier 1,,Anthem-Blue-Cross
disopyramide phosphate oral capsule,Tier 2,,Anthem-Blue-Cross
quinidine sulfate oral tablet,Tier 1,,Anthem-Blue-Cross
mexiletine hcl oral capsule,Tier 2,,Anthem-Blue-Cross
flecainide acetate oral tablet,Tier 2,,Anthem-Blue-Cross
propafenone hcl er oral capsule extended release 12 hour,Tier 2,,Anthem-Blue-Cross
propafenone hcl oral tablet,Tier 2,,Anthem-Blue-Cross
dofetilide oral capsule,Tier 2,,Anthem-Blue-Cross
MULTAQ ORAL TABLET (dronedarone hcl),Tier 3,,Anthem-Blue-Cross
ADVAIR HFA INHALATION AEROSOL (fluticasone-salmeterol),Tier 2,QL (1 inhaler per 30 days),Anthem-Blue-Cross
budesonide-formoterol fumarate inhalation aerosol,Tier 2,QL (1 inhaler per 30 days),Anthem-Blue-Cross
"DULERA INHALATION AEROSOL 100-5 MCG/ACT, 200-5 MCG/ACT, 50-5 MCG/ACT (mometasone furo-formoterol fum)",Tier 2,QL (1 inhaler per 30 days),Anthem-Blue-Cross
fluticasone-salmeterol inhalation aerosol powder breath activated,Tier 1,QL (1 inhaler per 30 days),Anthem-Blue-Cross
ipratropium-albuterol inhalation solution,Tier 2,,Anthem-Blue-Cross
SYMBICORT INHALATION AEROSOL (budesonide-formoterol fumarate),Tier 2,QL (1 inhaler per 30 days),Anthem-Blue-Cross
fluticasone-salmeterol (Wixela Inhub Inhalation Aerosol Powder Breath Activated),Tier 1,QL (1 inhaler per 30 days),Anthem-Blue-Cross
cromolyn sodium inhalation nebulization solution,Tier 2,,Anthem-Blue-Cross
ALBUTEROL SULFATE HFA INHALATION AEROSOL SOLUTION,Tier 1,QL (2 inhalers per 30 days),Anthem-Blue-Cross
albuterol sulfate inhalation nebulization solution,Tier 1,,Anthem-Blue-Cross
albuterol sulfate oral syrup,Tier 1,,Anthem-Blue-Cross
levalbuterol tartrate inhalation aerosol,Tier 1,QL (2 inhalers per 30 days),Anthem-Blue-Cross
metaproterenol sulfate oral syrup,Tier 1,,Anthem-Blue-Cross
SEREVENT DISKUS INHALATION AEROSOL POWDER BREATH ACTIVATED (salmeterol xinafoate),Tier 2,QL (1 inhaler per 30 days),Anthem-Blue-Cross
ipratropium bromide inhalation solution,Tier 1,QL (300 mL per 30 days),Anthem-Blue-Cross
SPIRIVA HANDIHALER INHALATION CAPSULE (tiotropium bromide monohydrate),Tier 3,QL (1 capsule per 1 day),Anthem-Blue-Cross
SPIRIVA RESPIMAT INHALATION AEROSOL SOLUTION (tiotropium bromide monohydrate),Tier 3,QL (1 inhaler per 30 days),Anthem-Blue-Cross
montelukast sodium oral packet,Tier 1,QL (1 packet per 1 day),Anthem-Blue-Cross
montelukast sodium oral tablet,Tier 1,QL (1 tablet per 1 day),Anthem-Blue-Cross
montelukast sodium oral tablet chewable,Tier 1,QL (1 tablet per 1 day),Anthem-Blue-Cross
DALIRESP ORAL TABLET (roflumilast),Tier 3,PA; QL (1 tablet per 1 day),Anthem-Blue-Cross
ASMANEX (120 METERED DOSES) INHALATION AEROSOL POWDER BREATH ACTIVATED (mometasone furoate),Tier 2,QL (1 inhaler per 30 days),Anthem-Blue-Cross
ASMANEX (14 METERED DOSES) INHALATION AEROSOL POWDER BREATH ACTIVATED (mometasone furoate),Tier 2,QL (1 inhaler per 30 days),Anthem-Blue-Cross
ASMANEX (30 METERED DOSES) INHALATION AEROSOL POWDER BREATH ACTIVATED (mometasone furoate),Tier 2,QL (1 inhaler per 30 days),Anthem-Blue-Cross
ASMANEX (60 METERED DOSES) INHALATION AEROSOL POWDER BREATH ACTIVATED (mometasone furoate),Tier 2,QL (1 inhaler per 30 days),Anthem-Blue-Cross
ASMANEX (7 METERED DOSES) INHALATION AEROSOL POWDER BREATH ACTIVATED (mometasone furoate),Tier 2,QL (1 inhaler per 30 days),Anthem-Blue-Cross
"budesonide inhalation suspension 0.25 mg/2ml, 0.5 mg/2ml",Tier 1,QL (120 ML per 30 days),Anthem-Blue-Cross
budesonide inhalation suspension 1 mg/2ml,Tier 1,QL (60 mL per 30 days),Anthem-Blue-Cross
"FLOVENT DISKUS INHALATION AEROSOL POWDER BREATH ACTIVATED 100 MCG/BLIST, 50 MCG/BLIST (fluticasone propionate (inhal))",Tier 2,QL (1 inhaler per 30 days),Anthem-Blue-Cross
FLOVENT DISKUS INHALATION AEROSOL POWDER BREATH ACTIVATED 250 MCG/BLIST (fluticasone propionate (inhal)),Tier 2,QL (4 inhalers per 30 days),Anthem-Blue-Cross
"FLOVENT HFA INHALATION AEROSOL 110 MCG/ACT, 44 MCG/ACT (fluticasone propionate hfa)",Tier 2,QL (1 inhaler per 30 days),Anthem-Blue-Cross
FLOVENT HFA INHALATION AEROSOL 220 MCG/ACT (fluticasone propionate hfa),Tier 2,QL (2 inhalers per 30 days),Anthem-Blue-Cross
PULMICORT FLEXHALER INHALATION AEROSOL POWDER BREATH ACTIVATED (budesonide),Tier 2,QL (2 inhalers per 30 days),Anthem-Blue-Cross
theophylline er oral tablet extended release 12 hour,Tier 1,,Anthem-Blue-Cross
theophylline er oral tablet extended release 24 hour,Tier 1,,Anthem-Blue-Cross
theophylline oral solution,Tier 1,,Anthem-Blue-Cross
warfarin sodium (Jantoven Oral Tablet),Tier 1,,Anthem-Blue-Cross
warfarin sodium oral tablet,Tier 1,,Anthem-Blue-Cross
ELIQUIS DVT/PE STARTER PACK ORAL TABLET (apixaban),Tier 3,QL (1 pack per 365 days),Anthem-Blue-Cross
ELIQUIS ORAL TABLET 2.5 MG (apixaban),Tier 3,QL (2 tablets per 1 day),Anthem-Blue-Cross
ELIQUIS ORAL TABLET 5 MG (apixaban),Tier 3,QL (74 tablets per 30 days),Anthem-Blue-Cross
"XARELTO ORAL TABLET 10 MG, 20 MG (rivaroxaban)",Tier 3,QL (1 tablet per 1 day),Anthem-Blue-Cross
XARELTO ORAL TABLET 15 MG (rivaroxaban),Tier 3,QL (42 tablets per 1 fill),Anthem-Blue-Cross
XARELTO ORAL TABLET 2.5 MG (rivaroxaban),Tier 3,QL (2 tablets per 1 day),Anthem-Blue-Cross
XARELTO STARTER PACK ORAL TABLET THERAPY PACK (rivaroxaban),Tier 3,QL (1 pack per 1 day),Anthem-Blue-Cross
enoxaparin sodium injection solution,Tier 4,QL (30 syringes per 30 days),Anthem-Blue-Cross
enoxaparin sodium subcutaneous solution,Tier 4,QL (30 syringes per 30 days),Anthem-Blue-Cross
fondaparinux sodium subcutaneous solution,Tier 4,QL (30 syringes per 30 days),Anthem-Blue-Cross
PRADAXA ORAL CAPSULE (dabigatran etexilate mesylate),Tier 3,QL (2 capsules per 1 day),Anthem-Blue-Cross
clonazepam oral tablet,Tier 1,QL (3 tablets per 1 day),Anthem-Blue-Cross
clonazepam oral tablet dispersible,Tier 1,,Anthem-Blue-Cross
carbamazepine er oral capsule extended release 12 hour,Tier 1,,Anthem-Blue-Cross
carbamazepine er oral tablet extended release 12 hour,Tier 1,,Anthem-Blue-Cross
carbamazepine oral suspension,Tier 1,,Anthem-Blue-Cross
carbamazepine oral tablet,Tier 1,,Anthem-Blue-Cross
carbamazepine oral tablet chewable,Tier 1,,Anthem-Blue-Cross
carbamazepine (Epitol Oral Tablet),Tier 1,,Anthem-Blue-Cross
"gabapentin oral capsule 100 mg, 400 mg",Tier 2,QL (6 capsules per 1 day),Anthem-Blue-Cross
gabapentin oral capsule 300 mg,Tier 2,QL (9 capsules per 1 day),Anthem-Blue-Cross
gabapentin oral solution,Tier 2,QL (72 mL per 1 day),Anthem-Blue-Cross
gabapentin oral tablet 600 mg,Tier 2,QL (6 tablets per 1 day),Anthem-Blue-Cross
gabapentin oral tablet 800 mg,Tier 2,QL (4 tablets per 1 day),Anthem-Blue-Cross
lamotrigine oral tablet,Tier 1,,Anthem-Blue-Cross
lamotrigine oral tablet chewable,Tier 1,,Anthem-Blue-Cross
levetiracetam er oral tablet extended release 24 hour,Tier 2,,Anthem-Blue-Cross
levetiracetam oral solution,Tier 2,,Anthem-Blue-Cross
levetiracetam oral tablet,Tier 2,,Anthem-Blue-Cross
oxcarbazepine oral suspension,Tier 2,,Anthem-Blue-Cross
oxcarbazepine oral tablet,Tier 2,,Anthem-Blue-Cross
primidone oral tablet,Tier 1,,Anthem-Blue-Cross
lamotrigine (Subvenite Oral Tablet),Tier 1,,Anthem-Blue-Cross
topiramate oral capsule sprinkle,Tier 1,,Anthem-Blue-Cross
topiramate oral tablet,Tier 1,,Anthem-Blue-Cross
zonisamide oral capsule,Tier 2,,Anthem-Blue-Cross
felbamate oral suspension,Tier 2,,Anthem-Blue-Cross
felbamate oral tablet,Tier 2,,Anthem-Blue-Cross
tiagabine hcl oral tablet,Tier 2,,Anthem-Blue-Cross
DILANTIN ORAL CAPSULE (phenytoin sodium extended),Tier 3,,Anthem-Blue-Cross
PEGANONE ORAL TABLET (ethotoin),Tier 3,,Anthem-Blue-Cross
phenytoin sodium extended oral capsule,Tier 1,,Anthem-Blue-Cross
ethosuximide oral capsule,Tier 1,,Anthem-Blue-Cross
ethosuximide oral solution,Tier 1,,Anthem-Blue-Cross
divalproex sodium er oral tablet extended release 24 hour,Tier 2,,Anthem-Blue-Cross
divalproex sodium oral capsule delayed release sprinkle,Tier 2,,Anthem-Blue-Cross
divalproex sodium oral tablet delayed release,Tier 2,,Anthem-Blue-Cross
valproic acid oral capsule,Tier 1,,Anthem-Blue-Cross
valproic acid oral solution,Tier 1,,Anthem-Blue-Cross
mirtazapine oral tablet,Tier 1,,Anthem-Blue-Cross
mirtazapine oral tablet dispersible,Tier 1,,Anthem-Blue-Cross
bupropion hcl er (sr) oral tablet extended release 12 hour 100 mg,Tier 1,DO,Anthem-Blue-Cross
bupropion hcl er (sr) oral tablet extended release 12 hour 150 mg,Tier 1; $0,,Anthem-Blue-Cross
bupropion hcl er (sr) oral tablet extended release 12 hour 200 mg,Tier 1,,Anthem-Blue-Cross
bupropion hcl er (xl) oral tablet extended release 24 hour 150 mg,Tier 1,DO,Anthem-Blue-Cross
bupropion hcl er (xl) oral tablet extended release 24 hour 300 mg,Tier 1,QL (1 tablet per 1 day),Anthem-Blue-Cross
bupropion hcl oral tablet 100 mg,Tier 1,QL (4.5 tablets per 1 day),Anthem-Blue-Cross
bupropion hcl oral tablet 75 mg,Tier 1,DO,Anthem-Blue-Cross
maprotiline hcl oral tablet,Tier 1,,Anthem-Blue-Cross
