Prescription Drug Name,Drug Tier,Coverage Requirements and Limits
"OTREXUP SOAJ 15 MG/0.4ML, 20 MG/0.4ML, 25 MG/0.4ML, 12.5 MG/0.4ML, 17.5 MG/0.4ML, 22.5 MG/0.4ML",SP,PA; LA
"RASUVO SOAJ 10 MG/0.2ML, 15 MG/0.3ML, 25 MG/0.5ML, 30 MG/0.6ML, 7.5 MG/0.15ML, 12.5 MG/0.25ML, 17.5 MG/0.35ML, 22.5 MG/0.45ML",SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;;LA
RASUVO SOAJ 20 MG/0.4ML,SP,PA; LA
RIDAURA CAPS,2,
ARCALYST SOLR,SP,PA
KEVZARA SOSY,SP,PA; SP
ANAPROX DS TABS (Use Naproxen Sodium),NF,
ARTHROTEC 50 TBEC (Use Diclofenac w/ Misoprostol),NF,
ARTHROTEC 75 TBEC (Use Diclofenac w/ Misoprostol),NF,
CELEBREX CAPS 200 MG (Use Celecoxib),NF,ST; QL(2 ea daily); AL(At least 60 yrs old)
CELEBREX CAPS 400 MG (Use Celecoxib),NF,ST; QL(1 ea daily); AL(At least 60 yrs old)
"CELEBREX CAPS 50 MG, 100 MG (Use Celecoxib)",NF,ST; AL(At least 60 yrs old)
celecoxib caps 200 mg,1,ST; QL(2 ea daily); AL(At least 60 yrs old)
celecoxib caps 400 mg,1,ST; QL(1 ea daily); AL(At least 60 yrs old)
"celecoxib caps 50 mg, 100 mg",1,ST; AL(At least 60 yrs old)
DAYPRO TABS (Use Oxaprozin),NF,
diclofenac potassium tabs,1,
diclofenac sodium tb24,1,
diclofenac sodium tbec,1,
diclofenac w/ misoprostol tbec,1,
"etodolac caps 200 mg, 300 mg",1,
"etodolac tabs 400 mg, 500 mg",1,
"etodolac tb24 400 mg, 500 mg, 600 mg",1,QL(2 ea daily)
FELDENE CAPS 10 MG (Use Piroxicam),NF,
FELDENE CAPS 20 MG (Use Piroxicam),NF,QL(1 ea daily)
fenoprofen calcium tabs,1,
flurbiprofen tabs,1,
ibuprofen tabs,1,
INDOCIN SUPP RE 50 MG,3,
INDOCIN SUSP OR 25 MG/5ML,2,
indomethacin caps,1,
indomethacin cpcr,1,
"ketoprofen caps 50 mg, 75 mg",1,
KETOPROFEN CAPS 75 MG,2,
ketoprofen cp24 200 mg,1,
ketorolac tromethamine tabs,1,QL(20 ea per fill retail)
LODINE TABS (Use Etodolac),NF,
meclofenamate sodium caps,1,
mefenamic acid caps,1,
meloxicam tabs 15 mg,1,QL(1 ea daily)
meloxicam tabs 7.5 mg,1,QL(2 ea daily)
MOBIC TABS 15 MG (Use Meloxicam),NF,QL(1 ea daily)
MOBIC TABS 7.5 MG (Use Meloxicam),NF,QL(2 ea daily)
nabumetone tabs 500 mg,1,QL(4 ea daily)
nabumetone tabs 750 mg,1,QL(3 ea daily)
NALFON TABS (Use Fenoprofen Calcium),NF,
NAPROSYN SUSP (Use Naproxen),NF,
NAPROSYN TABS (Use Naproxen),NF,
"naproxen sodium tabs 275 mg, 550 mg",1,
naproxen susp 125 mg/5ml,1,
"naproxen tabs 250 mg, 375 mg, 500 mg",1,
oxaprozin tabs,1,
piroxicam caps 10 mg,1,
piroxicam caps 20 mg,1,QL(1 ea daily)
PONSTEL CAPS (Use Mefenamic Acid),NF,
SPRIX SOLN,3,"QL(1 ea daily,5 day(s) limit)"
sulindac tabs 150 mg,1,QL(2 ea daily)
sulindac tabs 200 mg,1,
TIVORBEX CAPS,3,ST; QL(3 ea daily)
TOLMETIN SODIUM CAPS 400 MG,2,
"tolmetin sodium tabs 200 mg, 600 mg",1,
OTEZLA TABS,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA
OTEZLA TBPK,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA
ARAVA TABS 10 MG (Use Leflunomide),NF,QL(2 ea daily)
ARAVA TABS 20 MG (Use Leflunomide),NF,QL(1 ea daily)
leflunomide tabs 10 mg,1,QL(2 ea daily)
leflunomide tabs 20 mg,1,QL(1 ea daily)
ORENCIA CLICKJECT SOAJ,SP,PA; SP
ORENCIA SOSY,SP,PA
ENBREL MINI SOCT,SP,PA
ENBREL SOLR,SP,PA; LA
ENBREL SOSY,SP,PA; LA
ENBREL SURECLICK SOAJ,SP,PA; LA
butalbital-acetaminophen tabs,1,
butalbital-acetaminophen- caffeine caps,1,
butalbital-acetaminophen- caffeine tabs,1,
butalbital-aspirin-caffeine caps,1,
DURAXIN CAPS,3,
ESGIC TABS (Use Butalbital-Acetaminophen- Caffeine),NF,
FIORICET CAPS (Use Butalbital-Acetaminophen- Caffeine),NF,
FIORINAL CAPS (Use Butalbital-Aspirin-Caffeine),NF,
TENCON TABS,3,
ASCRIPTIN TABS,PV,PV
aspirin chew,PV,PV
aspirin tabs,PV,PV
aspirin tbec,PV,PV
choline & mag salicylate liqd,1,
diflunisal tabs,1,
ECOTRIN REGULAR STRENGTH TBEC (Use Aspirin),PV,PV
salsalate tabs,1,
ABSTRAL SUBL,3,PA
ACTIQ LPOP 1600 MCG (Use Fentanyl Citrate),NF,PA; QL(4 ea daily)
"ACTIQ LPOP 200 MCG, 400 MCG, 600 MCG, 800 MCG, 1200 MCG (Use Fentanyl Citrate)",NF,PA
codeine sulfate tabs,1,
CONZIP CP24,3,
DEMEROL TABS (Use Meperidine HCl),NF,
DILAUDID LIQD (Use Hydromorphone HCl),NF,
DILAUDID TABS (Use Hydromorphone HCl),NF,
DOLOPHINE TABS (Use Methadone HCl),NF,QL(12 ea daily)
DURAGESIC PT72 (Use Fentanyl),NF,Limit 15 per month;QL(0.5 ea daily)
EMBEDA CPCR,3,PA
EXALGO T24A 32 MG (Use Hydromorphone HCl),NF,QL(2 ea daily)
"EXALGO T24A 8 MG, 12 MG, 16 MG (Use Hydromorphone HCl)",NF,QL(4 ea daily)
fentanyl citrate lpop bu 1600 mcg,2,PA; QL(4 ea daily)
"fentanyl citrate lpop bu 200 mcg, 400 mcg, 600 mcg, 800 mcg, 1200 mcg",2,PA
"fentanyl pt72 12 mcg/hr, 25 mcg/hr, 50 mcg/hr, 75 mcg/hr, 100 mcg/hr",1,Limit 15 per month;QL(0.5 ea daily)
"fentanyl pt72 37.5 mcg/hr, 62.5 mcg/hr, 87.5 mcg/hr",1,PA; Limit 15 patches per month;QL(0.5 ea daily)
hydromorphone hcl liqd 1 mg/ml,1,
hydromorphone hcl t24a 32 mg,1,QL(2 ea daily)
"hydromorphone hcl t24a 8 mg, 12 mg, 16 mg",1,QL(4 ea daily)
"hydromorphone hcl tabs 2 mg, 4 mg, 8 mg",1,
"KADIAN CP24 10 MG, 20 MG, 30 MG, 40 MG, 50 MG, 60 MG, 80 MG, 100 MG (Use Morphine Sulfate)",NF,QL(2 ea daily)
KADIAN CP24 200 MG,3,QL(2 ea daily)
LAZANDA SOLN,3,PA
levorphanol tartrate tabs 2 mg,1,PA
LEVORPHANOL TARTRATE TABS 3 MG,2,PA
meperidine hcl soln 50 mg/5ml,1,
"MEPERIDINE HCL TABS 50 MG, 100 MG",2,
"meperidine hcl tabs 50 mg, 100 mg",1,
methadone hcl conc 10 mg/ml,1,
"methadone hcl soln 5 mg/5ml, 10 mg/5ml",1,
"methadone hcl tabs 5 mg, 10 mg",1,QL(12 ea daily)
methadone hcl tbso 40 mg,1,
"morphine sulfate cp24 or 10 mg, 20 mg, 30 mg, 40 mg, 50 mg, 60 mg, 80 mg, 100 mg",1,QL(2 ea daily)
MORPHINE SULFATE ER CP24,2,QL(1 ea daily)
morphine sulfate soln or 10 mg/5ml,1,
"morphine sulfate soln or 20 mg/ml, 20 mg/5ml, 100 mg/5ml",1,Not available through mail order
"morphine sulfate supp re 10 mg, 20 mg",1,
MORPHINE SULFATE SUPP RE 30 MG,3,
"morphine sulfate tabs or 15 mg, 30 mg",1,
"MORPHINE SULFATE TABS OR 15 MG, 30 MG (Use Morphine Sulfate)",NF,
"morphine sulfate tbcr or 15 mg, 30 mg, 60 mg, 100 mg, 200 mg",1,QL(3 ea daily)
MS CONTIN TBCR (Use Morphine Sulfate),NF,QL(3 ea daily)
NUCYNTA ER TB12,2,QL(2 ea daily)
NUCYNTA TABS,2,QL(6 ea daily)
OPANA ER (CRUSH RESISTANT) T12A,2,QL(2 ea daily)
OPANA TABS 10 MG (Use Oxymorphone HCl),NF,QL(8 ea daily)
OPANA TABS 5 MG (Use Oxymorphone HCl),NF,
OXAYDO TABA 7.5 MG,3,QL(4 ea daily)
oxycodone hcl caps 5 mg,1,
oxycodone hcl conc 100 mg/5ml,1,
oxycodone hcl soln 5 mg/5ml,1,
oxycodone hcl tabs 30 mg,1,QL(4 ea daily)
"oxycodone hcl tabs 5 mg, 10 mg, 15 mg, 20 mg",1,
oxymorphone hcl tabs 10 mg,1,QL(8 ea daily)
oxymorphone hcl tabs 5 mg,1,
OXYMORPHONE HYDROCHLORIDE ER TB12,3,QL(2 ea daily)
OXYMORPHONE HYDROCHLORIDEER TB12,3,QL(2 ea daily)
ROXICODONE TABS 30 MG (Use Oxycodone HCl),NF,QL(4 ea daily)
"ROXICODONE TABS 5 MG, 15 MG (Use Oxycodone HCl)",NF,
SUBSYS LIQD 100 MCG,3,PA; QL(4 ea daily)
"SUBSYS LIQD 200 MCG, 400 MCG, 600 MCG, 800 MCG, 1200 MCG, 1600 MCG",3,PA
TRAMADOL HCL ER CP24,3,
tramadol hcl tabs 50 mg,1,QL(8 ea daily)
tramadol hcl tb24 100 mg,1,QL(3 ea daily)
"tramadol hcl tb24 100 mg, 200 mg, 300 mg",1,
tramadol hcl tb24 200 mg,1,QL(1 ea daily)
ULTRAM TABS (Use Tramadol HCl),NF,QL(8 ea daily)
acetaminophen w/ codeine soln 120mg/5ml-12mg/5ml,1,
"acetaminophen w/ codeine tabs 300mg-15mg, 300mg- 30mg",1,
acetaminophen w/ codeine tabs 300mg-60mg,1,QL(6 ea daily)
butalbital-acetaminophen- caffeine w/ codeine caps 300mg-50mg-40mg-30mg,1,PA
butalbital-acetaminophen- caffeine w/ codeine caps 325mg-50mg-40mg-30mg,1,
butalbital-aspirin-caffeine w/cod caps,1,
FIORICET/CODEINE CAPS (Use Butalbital- Acetaminophen-Caffeine w/ Codeine),NF,PA
FIORINAL/CODEINE #3 CAPS (Use Butalbital- Aspirin-Caffeine w/Cod),NF,
"hydrocodone- acetaminophen soln 2.5mg/5ml-108mg/5ml, 5mg/10ml-217mg/10ml, 7.5mg/15ml-325mg/15ml",1,
"hydrocodone- acetaminophen tabs 5mg- 300mg, 10mg-300mg, 2.5mg-325mg",1,
"hydrocodone- acetaminophen tabs 5mg- 325mg, 10mg-325mg, 7.5mg-325mg",1,QL(240 ea per fill retail)
hydrocodone- acetaminophen tabs 7.5mg-300mg,1,QL(6 ea daily)
hydrocodone-ibuprofen tabs 200mg-10mg,1,Not available through mail order
"hydrocodone-ibuprofen tabs 200mg-5mg, 200mg- 10mg, 200mg-7.5mg",1,
LORTAB ELIX,3,
MEPERIDINE HCL/PROMETHAZINE HCL CAPS,3,
NALOCET TABS,3,
NORCO TABS (Use Hydrocodone- Acetaminophen),NF,QL(240 ea per fill retail)
"oxycodone w/ acetaminophen tabs 10mg- 325mg, 7.5mg-325mg",1,QL(4 ea daily)
oxycodone w/ acetaminophen tabs 2.5mg-325mg,1,
oxycodone w/ acetaminophen tabs 5mg- 325mg,1,QL(6 ea daily)
OXYCODONE/ACETAMIN OPHEN SOLN,2,
OXYCODONE/IBUPROFE N TABS,3,QL(4 ea daily)
"PERCOCET TABS 10MG- 325MG, 7.5MG-325MG (Use Oxycodone w/ Acetaminophen)",NF,QL(4 ea daily)
PERCOCET TABS 2.5MG- 325MG (Use Oxycodone w/ Acetaminophen),NF,
PERCOCET TABS 5MG- 325MG (Use Oxycodone w/ Acetaminophen),NF,QL(6 ea daily)
PRIMLEV TABS,3,
SYNALGOS-DC CAPS,3,
tramadol-acetaminophen tabs,1,QL(8 ea daily)
TYLENOL/CODEINE #3 TABS (Use Acetaminophen w/ Codeine),NF,
TYLENOL/CODEINE #4 TABS (Use Acetaminophen w/ Codeine),NF,QL(6 ea daily)
ULTRACET TABS (Use Tramadol-Acetaminophen),NF,QL(8 ea daily)
"XODOL TABS 5MG- 300MG, 10MG-300MG (Use Hydrocodone- Acetaminophen)",NF,
XODOL TABS 7.5MG- 300MG (Use Hydrocodone- Acetaminophen),NF,QL(6 ea daily)
buprenorphine hcl subl 2 mg,1,QL(3 ea daily)
buprenorphine hcl subl 8 mg,1,QL(4 ea daily)
"buprenorphine hcl- naloxone hcl dihydrate subl 8mg-2mg, 2mg-0.5mg",1,
"buprenorphine ptwk td 5 mcg/hr, 10 mcg/hr, 15 mcg/hr, 20 mcg/hr",1,Limited to 4 patches per month;QL(4 ea per 28 days retail)
"BUPRENORPHINE PTWK TD 5 MCG/HR, 10 MCG/HR, 15 MCG/HR, 20 MCG/HR, 7.5 MCG/HR",3,Limited to 4 patches per month;QL(4 ea per 28 days retail)
butorphanol tartrate soln,1,Limit 7.5mls per month;QL(0.25 ml daily)
"BUTRANS PTWK 5 MCG/HR, 10 MCG/HR, 15 MCG/HR, 20 MCG/HR (Use Buprenorphine)",NF,Limited to 4 patches per month;QL(4 ea per 28 days retail)
BUTRANS PTWK 7.5 MCG/HR,3,Limited to 4 patches per month;QL(4 ea per 28 days retail)
pentazocine w/ naloxone tabs,1,
PROBUPHINE IMPLANT KIT IMPL,SP,PA; SP
SUBLOCADE SOSY,SP,PA; SP
ANADROL-50 TABS,3,
OXANDRIN TABS 10 MG (Use Oxandrolone),NF,QL(2 ea daily)
OXANDRIN TABS 2.5 MG (Use Oxandrolone),NF,
oxandrolone tabs 10 mg,2,QL(2 ea daily)
oxandrolone tabs 2.5 mg,2,
ANDRODERM PT24,3,"ST; QL(60 ea per fill retail,120 ea per fill mail)"
"ANDROGEL GEL 40.5 MG/2.5GM, 20.25 MG/1.25GM (Use Testosterone)",NF,Limited to 300 gms per month;QL(10 gm daily)
"ANDROGEL GEL 50 MG/5GM, 25 MG/2.5GM (Use Testosterone)",NF,QL(10 gm daily)
ANDROGEL PUMP GEL (Use Testosterone),NF,Limited to 300 gms per month;QL(10 gm daily)
danazol caps,1,
FORTESTA GEL (Use Testosterone),NF,QL(4 gm daily)
METHITEST TABS,2,
methyltestosterone caps,1,
METHYLTESTOSTERONE CAPS,1,
STRIANT MISC,3,QL(2 ea daily)
TESTIM GEL (Use Testosterone),3,PA; QL(10 gm daily)
testosterone gel 1 %,3,PA; QL(10 gm daily)
"testosterone gel 1 %, 1.62 %, 50 mg/5gm, 25 mg/2.5gm, 40.5 mg/2.5gm, 20.25 mg/1.25gm",1,Limited to 300 gms per month;QL(10 gm daily)
"testosterone gel 1 %, 50 mg/5gm, 25 mg/2.5gm",1,QL(10 gm daily)
testosterone gel 10 mg/act,1,QL(4 gm daily)
testosterone gel 25 mg/2.5gm,1,1.5 GM/50 ML;QL(10 gm daily)
testosterone gel 50 mg/5gm,1,Limit 300gms per month;QL(10 gm daily)
testosterone soln 30 mg/act,1,QL(6 ml daily)
TESTRED CAPS (Use Methyltestosterone),NF,
CORTENEMA ENEM (Use Hydrocortisone (Intrarectal)),NF,QL(60 ml daily)
CORTIFOAM FOAM,2,
hydrocortisone (intrarectal) enem,1,QL(60 ml daily)
UCERIS FOAM RE 2 MG/ACT,3,PA
ANALPRAM-HC LOTN,3,
PROCTOFOAM HC FOAM,2,
ANUSOL-HC CREA (Use Hydrocortisone (Rectal)),NF,
hydrocortisone (rectal) crea,1,
RECTIV OINT,3,
albendazole tabs,1,
ALBENZA TABS (Use Albendazole),NF,
BENZNIDAZOLE TABS,2,AL(At least 2 yrs old - Up to 12 yrs old)
BILTRICIDE TABS (Use Praziquantel),NF,
ivermectin tabs,1,
praziquantel tabs,1,
STROMECTOL TABS (Use Ivermectin),NF,
FLAGYL CAPS (Use Metronidazole),NF,
FLAGYL TABS (Use Metronidazole),NF,
metronidazole caps,1,
metronidazole tabs,1,
NEBUPENT SOLR,2,
PRIMSOL SOLN,3,
TINDAMAX TABS (Use Tinidazole),NF,
tinidazole tabs 250 mg,1,PA
tinidazole tabs 500 mg,1,
trimethoprim tabs,1,
TRIMPEX SOLN,3,
XIFAXAN TABS 200 MG,3,PA; QL(9 ea per fill retail)
XIFAXAN TABS 550 MG,3,PA; QL(2 ea daily)
BACTRIM DS TABS (Use Sulfamethoxazole- Trimethoprim),NF,
BACTRIM TABS (Use Sulfamethoxazole- Trimethoprim),NF,
sulfamethoxazole- trimethoprim susp,1,
sulfamethoxazole- trimethoprim tabs,1,
ALINIA SUSR,3,
ALINIA TABS,3,
atovaquone susp,2,
MEPRON SUSP (Use Atovaquone),NF,
DORIBAX SOLR,SP,PA
DORIPENEM SOLR,SP,PA
ertapenem sodium solr,SP,PA
imipenem-cilastatin solr,2,PA
IMIPENEM/CILASTATIN SOLR,SP,PA
INVANZ SOLR IJ (Use Ertapenem Sodium),SP,PA
INVANZ SOLR IV,SP,PA
meropenem solr,SP,PA
MERREM SOLR (Use Meropenem),SP,PA
PRIMAXIN IV SOLR (Use Imipenem-Cilastatin),SP,PA
VANCOCIN CAPS (Use Vancomycin HCl),NF,
VANCOCIN HCL CAPS (Use Vancomycin HCl),NF,PA
vancomycin hcl caps 125 mg,1,PA
vancomycin hcl caps 250 mg,1,
dapsone tabs 100 mg,1,QL(4 ea daily)
dapsone tabs 25 mg,1,
"CLEOCIN CAPS OR 75 MG, 150 MG, 300 MG (Use Clindamycin HCl)",NF,
CLEOCIN PEDIATRIC GRANULES SOLR (Use Clindamycin Palmitate Hydrochloride),NF,
clindamycin hcl caps,1,
clindamycin palmitate hydrochloride solr,1,
CAYSTON SOLR,SP,PA
linezolid susr 100 mg/5ml,1,QL(210 ml per 90 days retail)
linezolid tabs 600 mg,1,QL(20 ea per 90 days retail)
SIVEXTRO TABS,2,QL(6 ea per 90 days retail)
ZYVOX SUSR 100 MG/5ML (Use Linezolid),NF,QL(210 ml per 90 days retail)
ZYVOX TABS 600 MG (Use Linezolid),NF,QL(20 ea per 90 days retail)
RANEXA TB12 1000 MG (Use Ranolazine),NF,
RANEXA TB12 500 MG (Use Ranolazine),NF,QL(4 ea daily)
ranolazine tb12 1000 mg,1,
ranolazine tb12 500 mg,1,QL(4 ea daily)
DILATRATE SR CPCR,3,
GONITRO PACK,3,PA
ISORDIL TITRADOSE TABS 40 MG,2,
ISORDIL TITRADOSE TABS 5 MG (Use Isosorbide Dinitrate),NF,
ISOSORBIDE DINITRATE ER TBCR,2,
ISOSORBIDE DINITRATE TABS 30 MG,2,
"isosorbide dinitrate tabs 5 mg, 10 mg, 20 mg",1,
isosorbide mononitrate tabs,1,
isosorbide mononitrate tb24,1,
NITRO-BID OINT,2,
"NITRO-DUR PT24 0.1 MG/HR, 0.2 MG/HR, 0.4 MG/HR, 0.6 MG/HR (Use Nitroglycerin)",NF,QL(1 ea daily)
"NITRO-DUR PT24 0.3 MG/HR, 0.8 MG/HR",2,QL(1 ea daily)
nitroglycerin aers tl 400 mcg/spray,1,
"nitroglycerin pt24 td 0.1 mg/hr, 0.2 mg/hr, 0.4 mg/hr, 0.6 mg/hr",1,QL(1 ea daily)
nitroglycerin soln tl 0.4 mg/spray,1,
"nitroglycerin subl sl 0.3 mg, 0.4 mg, 0.6 mg",1,
NITROLINGUAL PUMPSPRAY SOLN (Use Nitroglycerin),NF,
NITROMIST AERS,3,
NITROSTAT SUBL (Use Nitroglycerin),NF,
buspirone hcl tabs,1,
HYDROXYZINE HCL SOLN IM 25 MG/ML,SP,PA
hydroxyzine hcl syrp or 10 mg/5ml,1,
"hydroxyzine hcl tabs or 10 mg, 25 mg, 50 mg",1,
