Prescription Drug Name,Drug Tier,Coverage Requirements and Limits
AIRS DISPOSABLE NEBULIZER,Tier 2,
AIRZONE PEAK FLOW METER DEVICE,Tier 1,
ALTERA NEBULIZER,Tier 2,
ALTERA NEBULIZER SYSTEM,Tier 2,
ASTHMA CHECK METER DEVICE,Tier 1,
ASTHMAPACK CHILDREN'S KIT,Tier 1,
AURA PORTANEB,Tier 2,
BREATHERITE MDI SPACER SPACER,Tier 2,
"BREATHERITE SPACER-MASK, NEO. SPACER",Tier 2,
"BREATHERITE SPACER-MASK,ADULT SPACER",Tier 2,
"BREATHERITE SPACER-MASK,CHILD SPACER",Tier 2,
"BREATHERITE SPACER-MASK,INFANT SPACER",Tier 2,
"BREATHERITE SPACER-MASK,S.CHLD SPACER",Tier 2,
BREATHERITE VALVED MDI CHAMBER SPACER,Tier 2,
BREATHERITE VALVED MDI SPACER SPACER,Tier 2,
CLEVER CHOICE CHAMBER-LRG MASK SPACER,Tier 2,
CLEVER CHOICE CHAMBER-MED MASK SPACER,Tier 2,
CLEVER CHOICE CHAMBER-SM MASK SPACER,Tier 2,
CLEVER CHOICE NEBULIZER DEVICE,Tier 2,
CLEVER CHOICE WHISPER AIRE PED DEVICE,Tier 2,
COMPACT COMPRESSOR NEBULIZER,Tier 2,
COMPACT SPACE CHAMBER PLUS SPACER,Tier 2,
COMPACT SPACE CHAMBER SPACER,Tier 2,
COMPACT SPACE CHAMBER-LRG MASK SPACER,Tier 2,
COMPACT SPACE CHAMBER-MED MASK SPACER,Tier 2,
COMPACT SPACE CHAMBER-SM MASK SPACER,Tier 2,
COMPACT ULTRASONIC NEBULIZER,Tier 2,
COMP-AIR NEBULIZER COMPRESSOR DEVICE,Tier 2,
COOL MIST HUMIDIFIER,Tier 2,
DEVILBISS DISPOSABLE NEBULIZER,Tier 2,
DEVILBISS PULMO-AIDE COMPRESSR DEVICE,Tier 2,
DEVILBISS PULMOMATE COMPRESSOR DEVICE,Tier 2,
DEVILBISS PULMONEB LT COMP-NEB DEVICE,Tier 2,
DEVILBISS TRAVELER COMPRESSOR DEVICE,Tier 2,
EASIVENT HOLDING CHAMBER SPACER,Tier 2,
EASIVENT MASK LARGE DEVICE,Tier 2,
EASIVENT MASK MEDIUM DEVICE,Tier 2,
EASIVENT MASK SMALL DEVICE,Tier 2,
EASY NEB COMPRESSOR NEBULIZER DEVICE,Tier 2,
EASYAIR COMPRESSOR NEBULIZER DEVICE,Tier 2,
EBASE CONTROLLER DEVICE,Tier 2,
ERAPID NEBULIZER SYSTEM,Tier 2,
FLEXICHAMBER SPACER,Tier 2,
FLEXICHAMBER-LG CHILD MASK DEVICE,Tier 2,
FLEXICHAMBER-SM ADULT MASK DEVICE,Tier 2,
FLEXICHAMBER-SM CHILD MASK DEVICE,Tier 2,
FLYP NEBULIZER,Tier 2,
HEALTHMIST,Tier 2,
HOME NEBULIZER PLUS SIDESTREAM DEVICE,Tier 2,
humidifiers(Cool Mist Humidifier),Tier 2,
IN-CHECK DIAL TRAINING DEVICE DEVICE,Tier 2,
IN-CHECK NASAL WITH MASK DEVICE,Tier 1,
IN-CHECK ORAL FLOW METER DEVICE,Tier 1,
INNOSPIRE DELUXE DEVICE,Tier 2,
INNOSPIRE ELEGANCE DEVICE,Tier 2,
INNOSPIRE ESSENCE DEVICE,Tier 2,
INNOSPIRE GO NEBULIZER,Tier 2,
INNOSPIRE MINI DEVICE,Tier 2,
INSPIRACHAMBER SPACER,Tier 2,
INSPIRACHAMBER WITH MASK-LARGE SPACER,Tier 2,
INSPIRACHAMBER WITH MASK-MED SPACER,Tier 2,
INSPIRACHAMBER WITH MASK-SMALL SPACER,Tier 2,
LC D NEBULIZER SET,Tier 2,
LC PLUS,Tier 2,
LC PLUS NEBULIZER-PED MASK,Tier 2,
LC STAR,Tier 2,
LITE TOUCH-MEDIUM MASK DEVICE,Tier 2,
LITEAIRE MDI CHAMBER SPACER,Tier 2,
LITETOUCH-LARGE MASK DEVICE,Tier 2,
LITETOUCH-SMALL MASK DEVICE,Tier 2,
MICRO AIR,Tier 2,
MICROCHAMBER SPACER,Tier 2,
MICROLIFE PEAK FLOW METER DEVICE,Tier 1,
MICROSPACER SPACER,Tier 2,
MINI PLUS NEBULIZER,Tier 2,
MINI WRIGHT PEAK FLOW METER DEVICE,Tier 1,
MINI-WRIGHT PEAK FLOW METER DEVICE,Tier 1,
MISTASSIST DEVICE,Tier 2,
MOUTHPIECE DEVICE,Tier 2,
MY MDI PORTABLE NEBULISER DEVICE,Tier 2,
OMBRA COMPRESSOR SYSTEM DEVICE,Tier 2,
ONE WAY VALVED MOUTHPIECE DEVICE,Tier 2,
OPTICHAMBER ADULT MASK-LARGE DEVICE,Tier 2,
OPTICHAMBER DIAMOND LG MASK SPACER,Tier 2,
OPTICHAMBER DIAMOND VHC SPACER,Tier 2,
OPTICHAMBER DIAMOND-MED MSK SPACER,Tier 2,
OPTICHAMBER DIAMOND-SML MASK SPACER,Tier 2,
PANDA MASK DEVICE,Tier 2,
PARI BABY NEBULIZER,Tier 2,
PARI LC D NEBULIZER,Tier 2,
PARI LC SPRINT NEBULIZER SET,Tier 2,
PARI LC SPRINT SINUS,Tier 2,
PARI SINUS AEROSOL SYSTEM DEVICE,Tier 2,
PARI TREK S COMBO PACK DEVICE,Tier 2,
PARI TREK S COMPACT COMPRESSOR DEVICE,Tier 2,
PEAK AIR PEAK FLOW METER DEVICE,Tier 1,
PEDIATRIC DINOSAUR NEBULIZER DEVICE,Tier 2,
PEDIATRIC DOG NEBULIZER DEVICE,Tier 2,
PEDIATRIC FROG NEBULIZER DEVICE,Tier 2,
PEDIATRIC MEDIUM MASK DEVICE,Tier 2,
PEDIATRIC PANDA MASK DEVICE,Tier 2,
PEDIATRIC SMALL MASK DEVICE,Tier 2,
PERSONAL BEST FULL RANGE DEVICE,Tier 1,
PERSONAL BEST LOW RANGE DEVICE,Tier 1,
PFLEX INSPIRATORY TRAINER DEVICE,Tier 2,
PIKO 1 DEVICE,Tier 1,
POCKET CHAMBER SPACER,Tier 2,
POCKET PEAK FLOW METER DEVICE,Tier 1,
PORTABLE NEBULIZER SYSTEM DEVICE,Tier 2,
PRIMEAIRE SPACER,Tier 2,
PRO COMFORT SPACER-ADULT MASK SPACER,Tier 2,
PRO COMFORT SPACER-CHILD MASK SPACER,Tier 2,
PROCARE COMPRESSOR NEBULIZER DEVICE,Tier 2,
PROCARE HUMIDIFIER,Tier 2,
PROCARE PEDIATRIC NEBULIZER DEVICE,Tier 2,
PROCARE SPACER WITH ADULT MASK SPACER,Tier 2,
PROCARE SPACER WITH CHILD MASK SPACER,Tier 2,
PROCHAMBER SPACER,Tier 2,
PRODIGY MINI-MIST NEBULIZER,Tier 2,
PRONEB ULTRA II DEVICE,Tier 2,
PULMO-AIDE COMPRESSOR DEVICE,Tier 2,
PULMONEB LT COMPRESSOR NEBUL DEVICE,Tier 2,
PURE COMFORT HUMIDIFIER,Tier 2,
RITEFLO AEROCHAMBER SPACER,Tier 2,
SAMI THE SEAL DEVICE,Tier 2,
SIDESTREAM,Tier 2,
SIDESTREAM NEBULIZER,Tier 2,
SIDESTREAM PEDIATRIC FACE MASK DEVICE,Tier 2,
SIDESTREAM PLUS,Tier 2,
SILICONE MASK - INFANT DEVICE,Tier 2,
SILICONE MASK - PEDIATRIC DEVICE,Tier 2,
SINUSTAR AEROSOL DEVICE,Tier 2,
SINUSTAR NEBULIZER,Tier 2,
SOOTHENEB COMPRESSOR NEBULIZER DEVICE,Tier 2,
SOOTHENEB MESH NEBULIZER,Tier 2,
SPACE CHAMBER PLUS SPACER,Tier 2,
SUNRISE COMPRESSOR-NEBULIZER DEVICE,Tier 2,
THRESHOLD IMT TRAINER DEVICE,Tier 2,
THRESHOLD PEP DEVICE DEVICE,Tier 2,
TRUNEB NEBULIZER,Tier 2,
TRUZONE PEAK FLOW METER DEVICE,Tier 1,
"VAPORIZER CLEANING TABLET,SOLUBLE",Tier 2,
VAPORIZER INHALANT LIQUID,Tier 2,
vaporizers(Vicks Warm Steam Vaporizer),Tier 2,
VICKS WARM STEAM VAPORIZER,Tier 2,
VIOS AEROSOL DELIVERY SYSTEM DEVICE,Tier 2,
VIXONE NEBULIZER,Tier 2,
VIXONE NEBULIZER-ADULT MASK,Tier 2,
VIXONE NEBULIZER-PEDIATRIC MSK,Tier 2,
VORTEX ADULT MASK DEVICE,Tier 2,
VORTEX FROG MASK-CHILD DEVICE,Tier 2,
VORTEX HOLDING CHAMBER CHILD SPACER,Tier 2,
VORTEX HOLDING CHAMBER SPACER,Tier 2,
VORTEX HOLDING CHAMBER TODDLER SPACER,Tier 2,
VORTEX LADYBUG MASK-TODDLER DEVICE,Tier 2,
VORTEX VHC FROG MASK-CHILD SPACER,Tier 2,
VORTEX VHC LADYBUG MASK-TODDLR SPACER,Tier 2,
WARM STEAM VAPORIZER,Tier 2,
WILLIS THE WHALE COMPRESSR NEB DEVICE,Tier 2,
WINDMILL TRAINER DEVICE,Tier 2,
caffeine citrate oral solution 60 mg/3 ml (20 mg/ml),Tier 1,AGE (Max 1 Years)
ELIXOPHYLLIN ORAL ELIXIR 80 MG/15 ML,Tier 2,
"THEOCHRON ORAL TABLET EXTENDED RELEASE 12 HR 100 MG, 200 MG, 300 MG",Tier 1,
theophylline oral elixir 80 mg/15 ml(Elixophyllin),Tier 1,
theophylline oral solution 80 mg/15 ml,Tier 1,
"theophylline oral tablet extended release 12 hr(Theochron) 100 mg, 200 mg, 300 mg",Tier 1,
theophylline oral tablet extended release 12 hr 450 mg,Tier 1,
"theophylline oral tablet extended release 24 hr 400 mg, 600 mg",Tier 1,
"memantine oral capsule,sprinkle,er 24hr 14(Namenda XR) mg, 21 mg, 28 mg, 7 mg",Tier 2,
memantine oral solution 2 mg/ml,Tier 1,
"memantine oral tablet 10 mg, 5 mg(Namenda)",Tier 1,
"memantine oral tablets,dose pack 5-10 mg(Namenda Titration Pak)",Tier 1,
"NAMZARIC ORAL CAP,SPRINKLE,ER 24HR DOSE PACK 7/14/21/28 MG-10 MG",Tier 2,"ST: Prior prescription for Donepezil HCL, Memantine HCL, or Namenda XR in 120 days"
"NAMZARIC ORAL CAPSULE,SPRINKLE,ER 24HR 14-10 MG, 21-10 MG, 28-10 MG, 7-10 MG",Tier 2,"ST: Prior prescription for Donepezil HCL, Memantine HCL, or Namenda XR in 120 days"
"donepezil oral tablet 10 mg, 5 mg(Aricept)",Tier 1,QL (2 EA per 1 day)
donepezil oral tablet 23 mg(Aricept),Tier 1,ST: Prior prescription for Donepezil HCL in 120 days; QL (1 EA per 1 day)
"donepezil oral tablet,disintegrating 10 mg, 5 mg",Tier 1,QL (1 EA per 1 day)
"galantamine oral capsule,ext rel. pellets 24 hr(Razadyne ER) 16 mg, 24 mg, 8 mg",Tier 1,
galantamine oral solution 4 mg/ml,Tier 1,
"galantamine oral tablet 12 mg, 4 mg, 8 mg(Razadyne)",Tier 1,
pyridostigmine bromide oral tablet 60 mg(Mestinon),Tier 1,
pyridostigmine bromide oral tablet extended(Mestinon Timespan) release 180 mg,Tier 1,
"rivastigmine tartrate oral capsule 1.5 mg, 3 mg, 4.5 mg, 6 mg",Tier 1,
"rivastigmine transdermal patch 24 hour 13.3(Exelon) mg/24 hour, 4.6 mg/24 hr, 9.5 mg/24 hr",Tier 1,
"mirtazapine oral tablet 15 mg, 30 mg(Remeron)",Tier 1,
"mirtazapine oral tablet 45 mg, 7.5 mg",Tier 1,
"mirtazapine oral tablet,disintegrating 15 mg,(Remeron SolTab) 30 mg, 45 mg",Tier 1,
MARPLAN ORAL TABLET 10 MG,Tier 2,
phenelzine oral tablet 15 mg(Nardil),Tier 1,
tranylcypromine oral tablet 10 mg(Parnate),Tier 1,
"bupropion hcl oral tablet 100 mg, 75 mg",Tier 1,
"bupropion hcl oral tablet extended release 24(Wellbutrin XL) hr 150 mg, 300 mg",Tier 1,
"bupropion hcl oral tablet sustained-release 12(Wellbutrin SR) hr 100 mg, 150 mg, 200 mg",Tier 1,
citalopram oral solution 10 mg/5 ml,Tier 1,
"citalopram oral tablet 10 mg, 20 mg, 40 mg(Celexa)",Tier 1,
escitalopram oxalate oral solution 5 mg/5 ml,Tier 1,
"escitalopram oxalate oral tablet 10 mg, 20 mg,(Lexapro) 5 mg",Tier 1,
"fluoxetine oral capsule 10 mg, 20 mg, 40 mg(Prozac)",Tier 1,
fluoxetine oral solution 20 mg/5 ml (4 mg/ml),Tier 1,
"fluoxetine oral tablet 10 mg, 20 mg(Sarafem)",Tier 1,
"fluvoxamine oral capsule,extended release 24hr 100 mg, 150 mg",Tier 1,"ST: Prior prescription for Citalopram Hydrobromide, Escitalopram Oxalate, Fluoxetine HCL, Fluvoxamine Maleate, Paroxetine HCL, Paxil, or Sertraline HCL in 120 days"
"fluvoxamine oral tablet 100 mg, 25 mg, 50 mg",Tier 1,
"paroxetine hcl oral tablet 10 mg, 20 mg, 30(Paxil) mg, 40 mg",Tier 1,
"paroxetine hcl oral tablet extended release 24(Paxil CR) hr 12.5 mg, 25 mg, 37.5 mg",Tier 1,
sertraline oral concentrate 20 mg/ml(Zoloft),Tier 1,
"sertraline oral tablet 100 mg, 25 mg, 50 mg(Zoloft)",Tier 1,
"nefazodone oral tablet 100 mg, 150 mg, 200 mg, 250 mg, 50 mg",Tier 1,
"trazodone oral tablet 100 mg, 150 mg, 50 mg",Tier 1,
"duloxetine oral capsule,delayed release(dr/ec)(Cymbalta) 20 mg, 30 mg, 60 mg",Tier 1,QL (2 EA per 1 day)
"FETZIMA ORAL CAPSULE,EXT REL 24HR DOSE PACK 20 MG (2)- 40 MG (26)",Tier 3,PA; QL (1 EA per 1 day)
"FETZIMA ORAL CAPSULE,EXTENDED RELEASE 24 HR 120 MG, 20 MG, 40 MG, 80 MG",Tier 3,PA; QL (1 EA per 1 day)
"venlafaxine oral capsule,extended release(Effexor XR) 24hr 150 mg, 37.5 mg, 75 mg",Tier 1,
"venlafaxine oral tablet 100 mg, 25 mg, 37.5 mg, 50 mg, 75 mg",Tier 1,
"venlafaxine oral tablet extended release 24hr 150 mg, 225 mg, 37.5 mg, 75 mg",Tier 1,
"TRINTELLIX ORAL TABLET 10 MG, 20 MG, 5 MG",Tier 3,PA; QL (1 EA per 1 day)
"amitriptyline-chlordiazepoxide oral tablet 12.5- 5 mg, 25-10 mg",Tier 1,
"perphenazine-amitriptyline oral tablet 2-10 mg, 2-25 mg, 4-10 mg, 4-25 mg, 4-50 mg",Tier 1,
"amitriptyline oral tablet 10 mg, 100 mg, 150 mg, 25 mg, 50 mg, 75 mg",Tier 1,
"amoxapine oral tablet 100 mg, 150 mg, 25 mg, 50 mg",Tier 1,
"clomipramine oral capsule 25 mg, 50 mg, 75(Anafranil) mg",Tier 1,
"desipramine oral tablet 10 mg, 25 mg(Norpramin)",Tier 1,
"desipramine oral tablet 100 mg, 150 mg, 50 mg, 75 mg",Tier 1,
"doxepin oral capsule 10 mg, 100 mg, 150 mg, 25 mg, 50 mg, 75 mg",Tier 1,
doxepin oral concentrate 10 mg/ml,Tier 1,
"imipramine hcl oral tablet 10 mg, 25 mg, 50(Tofranil) mg",Tier 1,
"imipramine pamoate oral capsule 100 mg, 125 mg, 150 mg, 75 mg",Tier 1,
"maprotiline oral tablet 25 mg, 50 mg, 75 mg",Tier 1,
"nortriptyline oral capsule 10 mg, 25 mg, 50(Pamelor) mg, 75 mg",Tier 1,
nortriptyline oral solution 10 mg/5 ml,Tier 1,
"protriptyline oral tablet 10 mg, 5 mg",Tier 1,
"trimipramine oral capsule 100 mg, 25 mg, 50 mg",Tier 1,
"dextroamphetamine oral capsule, extended(Dexedrine Spansule) release 10 mg, 15 mg, 5 mg",Tier 1,
dextroamphetamine oral solution 5 mg/5 ml(ProCentra),Tier 1,
"dextroamphetamine oral tablet 10 mg, 5 mg(Zenzedi)",Tier 1,
"dextroamphetamine-amphetamine oral(Adderall XR) capsule,extended release 24hr 10 mg, 15 mg, 20 mg, 25 mg, 30 mg, 5 mg",Tier 1,
"dextroamphetamine-amphetamine oral tablet(Adderall) 10 mg, 12.5 mg, 15 mg, 20 mg, 30 mg, 5 mg, 7.5 mg",Tier 1,
methamphetamine oral tablet 5 mg(Desoxyn),Tier 1,
"VYVANSE ORAL CAPSULE 10 MG, 20 MG, 30 MG, 40 MG, 50 MG, 60 MG, 70 MG",Tier 2,
"ZENZEDI ORAL TABLET 10 MG, 5 MG",Tier 1,
"acamprosate oral tablet,delayed release (dr/ec) 333 mg",Tier 1,
"disulfiram oral tablet 250 mg, 500 mg(Antabuse)",Tier 1,
"alprazolam oral tablet 0.25 mg, 0.5 mg, 1 mg,(Xanax) 2 mg",Tier 1,
"alprazolam oral tablet extended release 24 hr(Xanax XR) 0.5 mg, 1 mg, 2 mg, 3 mg",Tier 1,
